Race Number,Event Name,Race Name and Type,Position,Lane Number,Club Code,Club Name,Crew List
102,Women's Coxless Pairs Tier 1,Final,5,6,OUW,Oxford UWBC,"Isobel Dodds, Rebecca te Water Naud̩"
103,Lwt 1x,Final,1,4,CNN,Cambridge 99,Henk-Jaap Wagenaar
103,Lwt 1x,Final,2,2,TRC,Thames RC,Philip Lee
103,Lwt 1x,Final,3,5,EAR,Earith SC,Alexander Carter
104,Coxless Fours Tier 1,Final,1,7,LDR,Leander Club,"Barnaby Stentiford, Finn Stevenson, Sam Twine, George Rossiter"
104,Coxless Fours Tier 1,Final,2,5,EHU,Edinburgh Univ,"Matthew Christie, Oliver Wilkes, Calum Irvine, Rufus Scholefield"
104,Coxless Fours Tier 1,Final,3,6,LRC (A),London RC,"Matthew Cummings, Nicholas Parnell, Stephen Griffiths, Dominic Parnell"
104,Coxless Fours Tier 1,Final,4,4,LEA (A),Lea RC,"Alex Wildy, Tobias Perren, Toby Dixon, Jonathan Daniels"
104,Coxless Fours Tier 1,Final,5,3,TSS (A),Tideway Sc Sch,"Nathan O'Reilly, Murray Wilkojc, William Fields, Lloyd Seaman"
104,Coxless Fours Tier 1,Final,6,2,QBC,Quintin BC,"Mark Chatwin, Robert Williams, Alexander Miller, Max Murdock"
105,Women's Double Sculls Tier 2,Final,1,7,ASL,American Sch,"Grace Bake, Sarah Brunsberg"
105,Women's Double Sculls Tier 2,Final,2,5,OUW,Oxford UWBC,"Chloe Laverack, Jenna Hebert"
105,Women's Double Sculls Tier 2,Final,3,3,RDU,Reading Univ,"Anna Smart, Katy Ratcliffe"
105,Women's Double Sculls Tier 2,Final,4,6,OXB,Oxford Brookes,"Jessica Brown, Emily Green"
105,Women's Double Sculls Tier 2,Final,5,2,LER,Leicester RC,"Aoife Holohan, Louise TORT"
105,Women's Double Sculls Tier 2,Final,7,4,SAA,Star & Arrow,"Kesiah Roe, Saskia Devereux"
106,Women's SIngle Sculls Tier 3,Final,1,6,BAU,Bath Univ,Steph Clutterbuck
106,Women's SIngle Sculls Tier 3,Final,2,7,WRC,Wallingford RC,Sarah Bowyer
106,Women's SIngle Sculls Tier 3,Final,3,4,LER,Leicester RC,Sophie Connolly
106,Women's SIngle Sculls Tier 3,Final,4,5,WAD,Wadham Coll,Stephanie Hall
106,Women's SIngle Sculls Tier 3,Final,5,3,TSS,Tideway Sc Sch,Gabby Cutler
250,SIngle Sculls Tier 1,Heat 2,1,6,NRC,Nottingham RC,Jonathan Stimpson
250,SIngle Sculls Tier 1,Heat 2,2,2,AGE,Agecroft RC,Matt Jenner
250,SIngle Sculls Tier 1,Heat 2,3,1,BAU,Bath Univ,Nick Bell
250,SIngle Sculls Tier 1,Heat 2,4,5,TSS,Tideway Sc Sch,James Dunley
250,SIngle Sculls Tier 1,Heat 2,5,7,UTC,Upper Thames RC,Thomas Carter
250,SIngle Sculls Tier 1,Heat 2,6,4,QBC,Quintin BC,Jonathan Brown
251,SIngle Sculls Tier 1,Heat 3,1,6,OUB,Oxford Univ,Matthew O'Leary
251,SIngle Sculls Tier 1,Heat 3,2,5,DUB,Durham Univ,Hugo Coussens
251,SIngle Sculls Tier 1,Heat 3,3,2,TSS,Tideway Sc Sch,Niall Kenny
251,SIngle Sculls Tier 1,Heat 3,4,3,ZDJ,Castleconnell Boat Club,Fionnan Crowley
251,SIngle Sculls Tier 1,Heat 3,5,4,BIR,Birmingham,Steven Byford
251,SIngle Sculls Tier 1,Heat 3,6,1,ZSN,University Coll Cork RC,Ronan Byrne
